message,prob
 solo para recordarte que hoy vence la entrega del formulario.,0.958626389503479
"Buen día, les recuerdo que mañana tendremos la reunión del proyecto final a las 10:00 AM en el aula virtual.",0.9330006837844849
Tu paquete ha sido enviado y llegará entre el 20 y el 22 de febrero. Puedes revisar el seguimiento en tu cuenta.,0.9314241409301758
La reunión semanal se moverá a las 12:00 PM. Avísame si hay algún inconveniente.,0.668648898601532
Te envío el resumen de actividades que pediste. Avísame si necesitas otra cosa.,0.871799111366272
El profesor informó que la clase de hoy se canceló. La reprogramación se avisará pronto.,0.663152813911438
El paquete está listo para recoger en la sucursal más cercana.,0.8535990118980408
Aquí tienes las diapositivas de la presentación de hoy.,0.8737516403198242
El servidor estará en mantenimiento el sábado de 2 a 4 AM.,0.9392181038856506
La clase del viernes será en el aula B-12 en lugar de la A-03.,0.7899602651596069
Se adjunta el reporte mensual con las métricas del proyecto.,0.7367417812347412
El envío está en tránsito y llegará mañana antes de las 3 PM.,0.9421008229255676
Tu turno para atención será llamado en aproximadamente 10 minutos.,0.8641672134399414
Recibimos la documentación que enviaste. Está en revisión.,0.903839111328125
El profesor compartió las notas de la clase. Ya están en la plataforma.,0.5968337059020996
"Hola, solo para recordarte que hoy vence la entrega del formulario.",0.9380611181259155
La biblioteca confirmó la prórroga del préstamo de libros.,0.955664336681366
La actividad grupal se reprogramó para el martes a las 11 AM.,0.4662497043609619
Tu reunión agendada empieza en 5 minutos.,0.7343809604644775
Tu paquete ya está¡ listo para ser recogido en la oficina de correos mÃ¡s cercana. [enlace legi­timo],0.9828488826751709
Tu pedido #12345 ha sido enviado. Haz clic aquÃ­ para rastrearlo: [enlace legítimo],0.987385630607605
Tu paquete ya estÃ¡ listo para ser recogido en la oficina de correos mÃ¡s cercana. [enlace legÃ­timo],0.9828488826751709
Tu pedido #12345 ha sido enviado. Haz clic aquÃ­ para rastrearlo: [enlace legÃ­timo],0.987385630607605
¡Hola! Â¿QuÃ© tal todo?,0.7440727949142456
Su paquete ha llegado a la oficina de correos. RecÃ³jalo dentro de 48 horas.,0.9642350077629089
Su paquete ha llegado a la oficina de correos. RecÃ³jalo dentro de 48 horas.,0.9642350077629089
Su paquete serÃ¡ entregado maÃ±ana. Gracias por su compra.,0.9534277319908142
Su paquete serÃ¡ entregado maÃ±ana. Gracias por su compra.,0.9534277319908142
Su paquete serÃ¡ entregado maÃ±ana. Gracias por su compra.,0.9534277319908142
Su paquete serÃ¡ entregado maÃ±ana. Gracias por su compra.,0.9534277319908142
