message,prob
 solo para recordarte que hoy vence la entrega del formulario.,0.958626389503479
"Buen día, les recuerdo que mañana tendremos la reunión del proyecto final a las 10:00 AM en el aula virtual.",0.9330006837844849
Tu paquete ha sido enviado y llegará entre el 20 y el 22 de febrero. Puedes revisar el seguimiento en tu cuenta.,0.9314241409301758
"Buenas tardes, te adjunto el archivo con la actividad que quedamos en revisar. Cualquier comentario me dices.",0.9422337412834167
Adjuntamos tu comprobante de inscripción del semestre. Revisa que los datos sean correctos.,0.7729964256286621
Tu cita médica está confirmada para el jueves a las 16:00 horas.,0.9527793526649475
Se ha generado tu comprobante de pago. Puedes descargarlo desde la plataforma.,0.640560507774353
La reunión semanal se moverá a las 12:00 PM. Avísame si hay algún inconveniente.,0.668648898601532
Tu reservación para el curso ha sido confirmada. Recibirás más detalles por correo.,0.9668322205543518
Se adjunta la constancia de participación solicitada.,0.5474043488502502
Te envío el resumen de actividades que pediste. Avísame si necesitas otra cosa.,0.871799111366272
El profesor informó que la clase de hoy se canceló. La reprogramación se avisará pronto.,0.663152813911438
El paquete está listo para recoger en la sucursal más cercana.,0.8535990118980408
Tu solicitud de soporte ha sido recibida. Un agente te contactará en breve.,0.7309354543685913
Aquí tienes las diapositivas de la presentación de hoy.,0.8737516403198242
El servidor estará en mantenimiento el sábado de 2 a 4 AM.,0.9392181038856506
El archivo solicitado ya está disponible en la carpeta compartida.,0.7556305527687073
La clase del viernes será en el aula B-12 en lugar de la A-03.,0.7899602651596069
Se adjunta el reporte mensual con las métricas del proyecto.,0.7367417812347412
Estamos preparando tu factura; la recibirás en las próximas horas.,0.8053336143493652
El envío está en tránsito y llegará mañana antes de las 3 PM.,0.9421008229255676
Tu turno para atención será llamado en aproximadamente 10 minutos.,0.8641672134399414
Recibimos la documentación que enviaste. Está en revisión.,0.903839111328125
El profesor compartió las notas de la clase. Ya están en la plataforma.,0.5968337059020996
"Hola, solo para recordarte que hoy vence la entrega del formulario.",0.9380611181259155
La biblioteca confirmó la prórroga del préstamo de libros.,0.955664336681366
La actividad grupal se reprogramó para el martes a las 11 AM.,0.4662497043609619
Tu reunión agendada empieza en 5 minutos.,0.7343809604644775
El director compartió un aviso importante; puedes leerlo en la plataforma.,0.7582379579544067
La capacitación del día sábado se realizará de manera virtual.,0.8787969946861267
Adjunto el documento que solicitaste en la reunión pasada.,0.8115164041519165
Tu paquete ya está¡ listo para ser recogido en la oficina de correos mÃ¡s cercana. [enlace legi­timo],0.9828488826751709
